Designator,Footprint,Quantity,Value,LCSC Part #
C1,402,1,10nF,C15195
"C10, C11, C12, C13, C16, C17, C19, C20, C21, C22, C23, C24, C25, C27, C29, C34, C35, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C5, C51, C6, C8, C9",402,34,100nF,C1525
"C14, C15",402,2,10pF,C32949
C18,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,1,10uF Tantalum,C7171
"C2, C7",CP_Elec_6.3x7.7,2,RVT1E101M0607 100uF,C72477
"C26, C28",402,2,2.2uF,C12530
C3,CP_Elec_10x10.5,1,RVT1V471M1010 470uF,C3350
"C30, C31, C32, C33, C36, C37",603,6,? F,
"C49, C50, C52, C53",603,4,1uF 35V,C15849
D1,D_SOD-123,1,SOD123-5V,
D2,D_SMA,1,SS34,C8678
D3,603,1,LED_GREEN,
D4,603,1,LED_RED,
D5,603,1,YELLOW,
D6,603,1,BLUE,
D7,603,1,WHITE,
D8,603,1,ORGRANGE,
F1,1812,1,30V 200mA,
F2,1812,1,15V 500mA,
FB1,603,1,120?@100MHz,C1002
J1,KF142R5082P,1,24V DOMINO,
"J10, J19, J6",JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,3,Conn_01x06_Socket,
J11,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J12, J14",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
"J13, J16, J17, J18, J20, J22, J7, J8",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,8,Conn_01x04_Socket,
J15,USB_Micro-B_Wuerth_629105150521,1,USB_B_Micro,
J2,PinHeader_1x02_P2.54mm_Vertical,1,5V_CONNECTOR,
"J21, J23",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Conn_01x03_Socket,
J3,PinHeader_1x02_P2.54mm_Vertical,1,3.3V_CONNECTOR,
J4,PinHeader_1x02_P2.54mm_Vertical,1,MCU_3.3_CONN,
J5,PinHeader_1x03_P2.54mm_Vertical,1,BOOT CONN,
J9,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Conn_01x05_Socket,
L1,L_12x12mm_H8mm,1,100uH,
"Q1, Q2",SOT-23,2,AO3401A,C15127
"R1, R10, R11, R13, R14, R15, R16, R17, R18, R23, R24, R6, R7, R8, R9",402,15,10K 0402,C25744
R12,402,1,100 0402,C25076
"R19, R20, R21, R22",402,4,10k,C25744
R2,402,1,1K 0402,C11702
"R25, R26",402,2,4.7K,C25900
R27,603,1,0 ohm 0603,
R28,603,1,10K 0603,C25804
"R29, R30, R31, R32",402,4,510,C25123
R3,805,1,4k7 0805,
R33,603,1,2.2K 0603,C4190
R4,402,1,3.3K 0402,C25890
R5,402,1,510 0402,C25123
SW1,SW_PUSH_6mm,1,BUTTON1,
SW2,SW_PUSH_6mm,1,RESET_SW,
SW3,SW_PUSH_6mm,1,BUTTON2,
TP1,TestPoint_Pad_2.0x2.0mm,1,5V TestPoint,
TP2,TestPoint_Pad_2.0x2.0mm,1,3.3V TestPoint,
TP3,TestPoint_Pad_2.0x2.0mm,1,USB PW TestPoint,
TP4,TestPoint_Pad_2.0x2.0mm,1,PWRSIG_TP,
TP5,TestPoint_Pad_2.0x2.0mm,1,PWRCTR_TP,
U1,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,C9864
U10,TSSOP-16_4.4x5mm_P0.65mm,1,MAX3232IPW,C354121
U2,SOT-223-3_TabPin2,1,AMS1117S-3.3,C6186
"U3, U5",SOIC-14_3.9x8.7mm_P1.27mm,2,74HC14D,C5605
U4,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
U6,SSOP-20_5.3x7.2mm_P0.65mm,1,SN74HCT245DBR,C2676027
U7,SOT-23-6,1,USBLC6-2SC6,C5261088
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,AT24C256C,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,C7950
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322516MLB4SI-16MHz,C13738
