Designator,Mid X,Mid Y,Layer,Rotation
C1,73.9125,-3.37,top,180.0
C10,102.9,14.4,top,0.0
C11,103.991,25.855,top,90.0
C12,93.0,28.1,top,90.0
C13,95.791,9.175,top,180.0
C14,88.4,26.05,top,0.0
C15,82.375,24.375,top,270.0
C16,80.7,16.5,top,0.0
C17,88.991,18.075,top,90.0
C18,80.7,19.9,top,180.0
C19,64.5,18.4,top,180.0
C2,70.0,8.0,top,180.0
C20,97.391,-4.125,top,270.0
C21,60.4,26.7,top,270.0
C22,77.075,4.66,top,180.0
C23,121.491,5.155,top,180.0
C24,129.691,5.255,top,0.0
C25,114.6,3.255,top,0.0
C26,102.191,13.155,top,0.0
C27,103.291,11.955,top,0.0
C28,105.491,24.755,top,90.0
C29,106.991,24.755,top,90.0
C3,79.57,-14.86,top,270.0
C30,82.325,36.35,bottom,270.0
C31,79.65,36.35,bottom,270.0
C32,96.675,47.575,bottom,270.0
C33,94.175,47.6,bottom,270.0
C34,126.9,-14.5,top,180.0
C35,60.3,43.0,top,270.0
C36,82.75,47.575,bottom,270.0
C37,79.925,47.575,bottom,270.0
C38,88.4,38.5,top,270.0
C39,89.6,41.8,top,270.0
C4,129.055,37.925,top,180.0
C40,117.3,45.5,top,180.0
C41,123.525,24.95,top,0.0
C42,99.9,45.7,top,0.0
C43,88.9,45.8,top,0.0
C44,69.8,45.6,top,0.0
C45,63.8,42.4,top,0.0
C46,109.891,-6.245,top,0.0
C47,126.275,36.875,top,180.0
C48,86.16664,-20.325,top,270.0
C49,93.64664,-22.245,top,0.0
C5,126.775,47.3,top,90.0
C50,97.93164,-17.875,top,0.0
C51,109.771,-15.045,top,0.0
C52,97.93664,-19.955,top,180.0
C53,97.93164,-16.255,top,180.0
C6,61.77,23.1,top,180.0
C7,76.7,25.4,top,90.0
C8,61.9,25.81,top,90.0
C9,94.6,13.2,top,180.0
D1,67.9925,-1.3,top,270.0
D2,73.5325,-5.91,top,0.0
D3,82.2,1.975,top,270.0
D4,78.185,31.6,top,180.0
D5,98.661,-0.267,top,90.0
D6,100.439,-0.267,top,90.0
D7,102.217,-0.267,top,90.0
D8,103.995,-0.267,top,90.0
F1,55.0,-7.1,top,0.0
F2,116.05,25.9,top,0.0
FB1,80.3,17.9,top,0.0
J1,56.63,2.42,top,270.0
J10,128.627,-4.695,top,270.0
J11,130.925,33.175,top,0.0
J12,110.3,30.0,top,270.0
J13,81.15,39.6,top,0.0
J14,123.1,48.9,top,180.0
J15,130.67,24.695,top,90.0
J16,95.45,49.875,top,0.0
J17,81.15,49.875,top,0.0
J18,66.85,49.875,top,0.0
J19,111.55,49.875,top,0.0
J2,128.8,40.45,top,90.0
J20,106.575,-10.495,top,0.0
J21,119.295,-10.495,top,0.0
J22,106.555,-18.93,top,0.0
J23,119.315,-18.93,top,0.0
J3,128.8,44.3,top,90.0
J4,85.1,28.8,top,270.0
J5,103.1,39.5,top,0.0
J6,56.2,20.1,top,90.0
J7,119.966,12.805,top,270.0
J8,128.602,12.805,top,270.0
J9,56.2,38.1,top,90.0
L1,66.59,-14.84,top,270.0
Q1,53.9625,-13.6,top,0.0
Q2,122.5375,28.25,top,0.0
R1,78.97,-0.89,top,90.0
R10,60.3,21.2,top,270.0
R11,60.3,13.09,top,270.0
R12,84.796,22.989,top,0.0
R13,64.5,19.6,top,0.0
R14,97.391,-6.225,top,270.0
R15,82.9,43.7,top,180.0
R16,80.4,43.7,top,180.0
R17,97.2,45.7,top,180.0
R18,94.7,45.7,top,180.0
R19,114.6,5.0,top,0.0
R2,82.2,-0.89,top,90.0
R20,114.6,6.4,top,0.0
R21,114.575,7.8,top,0.0
R22,114.575,9.375,top,0.0
R23,82.9,45.9,top,0.0
R24,80.4,45.9,top,180.0
R25,70.6,36.5,top,90.0
R26,70.6,38.8,top,270.0
R27,112.5,19.7,top,180.0
R28,111.275,32.875,top,0.0
R29,98.661,3.3,top,270.0
R3,57.5,-13.6,top,270.0
R30,100.439,3.3,top,270.0
R31,102.217,3.3,top,270.0
R32,103.995,3.3,top,270.0
R33,114.775,32.925,top,0.0
R4,79.0,1.51,top,90.0
R5,75.485,31.6,top,0.0
R6,60.3,15.8,top,90.0
R7,60.3,18.1,top,270.0
R8,95.791,10.375,top,0.0
R9,94.0,31.5,top,315.0
SW1,92.819,3.797,top,90.0
SW2,70.7,16.9,top,180.0
SW3,92.819,-6.871,top,90.0
U1,73.9,0.3,top,180.0
U10,91.25664,-18.325,top,90.0
U2,67.65,25.5,top,180.0
U3,80.075,9.96,top,90.0
U4,97.645,20.648,top,270.0
U5,94.9,39.4,top,0.0
U6,118.219,-1.283,top,270.0
U7,122.8,22.65,top,180.0
U8,66.0,38.9,top,270.0
U9,124.125,33.4,top,270.0
Y1,85.191,25.275,top,180.0
